# Simulated Nodulation Data File 8
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"Control","Rm1021",10,6,0,0,0
"Control","Rm1021",17.2,14,0,2,0
"Control","Rm1021",14.2,13,0,0,0
"Control","Rm1021",9.3,8,0,0,0
"Control","Rm1021",15.8,1,0,0,0
"Control","Rm1021",12.6,4,2,0,0
"Control","Rm1021",17,11,0,0,0
"Control","Rm1021",17.4,5,0,0,0
"Control","Rm1021",14.6,8,0,2,0
"Control","Rm1021",19.5,4,0,1,0
"Control","Rm1021",16.5,2,0,2,0
"Control","Rm1021",20,10,0,0,0
"Control","Rm1021",20.3,3,0,0,0
"Control","Rm1021",16.5,0,0,0,0
"Control","Rm1021",17.3,8,1,4,0
"Control","Rm1021",15.9,4,0,0,0
"Control","Rm1021",18.3,7,0,0,0
"Control","Rm1021",20.4,1,1,2,0
"Control","Rm1021",18.2,9,0,1,0
"Control","Rm1021",17,0,0,0,0
"Control","Rm1021",18.1,9,0,0,0
"Control","Mock",3,4,0,0,0
"Control","Mock",21.3,3,1,0,0
"Control","Mock",16.7,6,0,0,0
"Control","Mock",19.4,0,0,1,0
"Control","Mock",11.7,6,0,0,0
"Control","Mock",17.9,4,0,3,0
"Control","Mock",17.3,3,0,0,0
"Control","Mock",20.1,2,0,0,0
"Control","Mock",14.2,6,1,0,0
"Control","Mock",15.3,8,0,0,0
"Control","Mock",12.9,2,0,0,0
"Control","Mock",16.2,8,0,0,0
"Control","Mock",21.2,11,0,1,0
"Control","Mock",18.6,6,0,0,0
"Control","Mock",18.5,5,0,3,0
"Control","Mock",12.7,3,0,0,0
"Control","Mock",18.1,3,0,2,0
"Control","Mock",20.5,6,0,0,0
"Control","Mock",18.3,6,0,0,0
"Control","Mock",14.2,12,2,0,0
"Control","Mock",13.6,2,0,0,0
"50mM","Rm1021",16.4,4,0,0,0
"50mM","Rm1021",16.4,0,0,4,0
"50mM","Rm1021",20.3,1,0,5,0
"50mM","Rm1021",19.1,6,0,0,0
"50mM","Rm1021",15.8,7,2,3,0
"50mM","Rm1021",15.8,2,4,0,0
"50mM","Rm1021",17.1,13,0,0,0
"50mM","Rm1021",19.1,5,0,0,0
"50mM","Rm1021",6.6,6,0,1,0
"50mM","Rm1021",16.4,10,0,5,0
"50mM","Rm1021",14.9,3,0,3,0
"50mM","Rm1021",19.8,9,0,0,0
"50mM","Rm1021",21.3,7,0,0,0
"50mM","Rm1021",18.9,5,0,3,0
"50mM","Rm1021",15.6,1,0,0,0
"50mM","Rm1021",18.3,6,0,0,0
