# Simulated Nodulation Data File 10
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"Control","Rm1021",16.5,8,0,0,0
"Control","Rm1021",9.3,13,0,1,0
"Control","Rm1021",16.4,6,0,0,0
"Control","Rm1021",17.5,4,0,0,0
"Control","Rm1021",18.5,11,0,0,0
"Control","Rm1021",14.9,6,1,3,0
"Control","Rm1021",13.6,4,0,0,0
"Control","Rm1021",15.8,13,0,0,0
"Control","Rm1021",19.3,8,0,1,0
"Control","Rm1021",19.1,9,0,0,0
"Control","Rm1021",14.2,1,2,3,0
"Control","Rm1021",18.6,3,0,0,4
"Control","Rm1021",17.5,3,0,5,0
"Control","Rm1021",21.2,7,0,1,0
"Control","Rm1021",11.3,5,0,0,0
"Control","Rm1021",18.2,6,0,0,0
"Control","Rm1021",18.9,10,0,0,0
"Control","Rm1021",14.4,3,0,0,0
"Control","Rm1021",19.4,1,0,0,0
"Control","Rm1021",8.3,0,0,0,0
"Control","Rm1021",20,9,1,5,0
"Control","Mock",14.2,3,0,0,0
"Control","Mock",17.3,7,0,0,0
"Control","Mock",22.5,0,0,3,0
"Control","Mock",20.5,7,0,0,0
"Control","Mock",10,8,0,0,0
"Control","Mock",17.9,6,0,3,0
"Control","Mock",18.3,7,0,0,0
"Control","Mock",16.4,10,0,3,0
"Control","Mock",18.3,10,0,0,0
"Control","Mock",17,11,2,0,0
"Control","Mock",20.4,2,0,0,0
"Control","Mock",11.3,5,0,4,0
"Control","Mock",17.4,2,0,0,0
"Control","Mock",13.8,4,1,0,0
"Control","Mock",17.1,6,0,0,0
"Control","Mock",15.9,3,0,0,0
"Control","Mock",20.1,2,0,0,0
"Control","Mock",19.7,1,0,0,0
"Control","Mock",18.1,5,0,0,0
"Control","Mock",14.6,2,4,3,0
"Control","Mock",14.2,8,0,0,0
"50mM","Rm1021",14.2,0,0,0,0
"50mM","Rm1021",20.1,8,0,5,0
"50mM","Rm1021",20.9,1,0,0,0
