# Simulated Nodulation Summary Data File 
# Date: 2022-04-12 13:44:18
# David C. Green

Experimnetal Data:
"PRL_AVG.Treatment","PRL_AVG.Inoculation","PRL_AVG.mean","LR_AVG.Treatment","LR_AVG.Inoculation","LR_AVG.mean","WN_AVG.Treatment","WN_AVG.Inoculation","WN_AVG.mean","PN_AVG.Treatment","PN_AVG.Inoculation","PN_AVG.mean","BN_AVG.Treatment","BN_AVG.Inoculation","BN_AVG.mean"
"100mM","Mock",16.2772727272727,"100mM","Mock",4.77272727272727,"100mM","Mock",0,"100mM","Mock",0,"100mM","Mock",0
"100mM","Rm1021",16.3166666666667,"100mM","Rm1021",5.88888888888889,"100mM","Rm1021",0.166666666666667,"100mM","Rm1021",0.388888888888889,"100mM","Rm1021",0.0555555555555556
"50mM","Mock",16.6148148148148,"50mM","Mock",6.2962962962963,"50mM","Mock",0,"50mM","Mock",0,"50mM","Mock",0
"50mM","Rm1021",17.7666666666667,"50mM","Rm1021",7.83333333333333,"50mM","Rm1021",0.5,"50mM","Rm1021",1.5,"50mM","Rm1021",0.166666666666667
"Control","Mock",15.3190476190476,"Control","Mock",4.19047619047619,"Control","Mock",0,"Control","Mock",0,"Control","Mock",0
"Control","Rm1021",15.952380952381,"Control","Rm1021",4.23809523809524,"Control","Rm1021",0.80952380952381,"Control","Rm1021",2.80952380952381,"Control","Rm1021",0
"x"
"
"
"x"
"Simulated Data:"
"PRL_AVG.Treatment","PRL_AVG.Inoculation","PRL_AVG.mean","LR_AVG.Treatment","LR_AVG.Inoculation","LR_AVG.mean","WN_AVG.Treatment","WN_AVG.Inoculation","WN_AVG.mean","PN_AVG.Treatment","PN_AVG.Inoculation","PN_AVG.mean","BN_AVG.Treatment","BN_AVG.Inoculation","BN_AVG.mean"
"100mM","Mock",16.2772727272727,"100mM","Mock",6.13636363636364,"100mM","Mock",0.0909090909090909,"100mM","Mock",0.727272727272727,"100mM","Mock",0
"100mM","Rm1021",16.8555555555556,"100mM","Rm1021",5.22222222222222,"100mM","Rm1021",0.166666666666667,"100mM","Rm1021",0.722222222222222,"100mM","Rm1021",0
"50mM","Mock",16.6925925925926,"50mM","Mock",5.2962962962963,"50mM","Mock",0.481481481481481,"50mM","Mock",0.333333333333333,"50mM","Mock",0.037037037037037
