# Simulated Nodulation Data File 6
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"Control","Rm1021",12.6,5,0,0,0
"Control","Rm1021",17.5,7,0,1,0
"Control","Rm1021",18.6,2,0,1,0
"Control","Rm1021",18.7,5,0,1,0
"Control","Rm1021",7.2,6,0,0,0
"Control","Rm1021",17.3,10,1,2,0
"Control","Rm1021",10,9,0,0,0
"Control","Rm1021",19.8,4,0,0,0
"Control","Rm1021",14.2,3,0,5,0
"Control","Rm1021",16.4,0,0,1,0
"Control","Rm1021",15.8,9,0,1,0
"Control","Rm1021",6.9,13,0,0,0
"Control","Rm1021",18.4,1,0,0,0
"Control","Rm1021",11.7,1,0,0,0
"Control","Rm1021",15.6,2,0,0,0
"Control","Rm1021",16.3,1,0,2,0
"Control","Rm1021",16.2,3,0,0,0
"Control","Rm1021",17.9,6,1,0,0
"Control","Rm1021",18.5,4,0,0,0
"Control","Rm1021",14.7,15,4,3,0
"Control","Rm1021",14.2,5,1,0,0
"Control","Mock",14.2,1,0,0,0
"Control","Mock",12.7,12,0,1,0
"Control","Mock",21.4,11,0,0,0
"Control","Mock",18.6,6,0,0,0
"Control","Mock",20.7,12,0,1,1
"Control","Mock",15.3,3,0,0,0
"Control","Mock",17.3,2,0,4,0
"Control","Mock",3,14,0,0,0
"Control","Mock",8.3,6,0,1,0
"Control","Mock",14.4,8,1,0,0
"Control","Mock",18.6,10,0,0,0
"Control","Mock",16.8,8,0,1,0
"Control","Mock",16.4,2,0,0,0
"Control","Mock",17.1,1,0,2,0
"Control","Mock",16.5,4,0,0,0
"Control","Mock",20.3,6,0,0,0
"Control","Mock",17.2,5,0,0,0
"Control","Mock",18.2,3,0,0,0
"Control","Mock",17.7,7,1,0,0
"Control","Mock",15.1,1,1,1,0
"Control","Mock",19.7,9,0,0,0
"50mM","Rm1021",5.6,8,0,0,0
"50mM","Rm1021",19.1,0,0,0,0
"50mM","Rm1021",2.4,7,0,0,0
"50mM","Rm1021",16.3,4,0,0,0
"50mM","Rm1021",13.8,8,0,0,0
"50mM","Rm1021",9.1,0,0,4,0
"50mM","Rm1021",18.2,8,0,0,0
"50mM","Rm1021",20,15,6,4,0
"50mM","Rm1021",16.9,3,0,0,0
"50mM","Rm1021",20.5,6,0,0,0
"50mM","Rm1021",19.9,7,1,1,0
"50mM","Rm1021",17.2,10,0,0,0
"50mM","Rm1021",23,5,0,0,0
"50mM","Rm1021",14.9,11,0,3,0
"50mM","Rm1021",17.5,3,0,0,0
"50mM","Rm1021",13.6,1,0,0,0
"50mM","Rm1021",11.3,0,0,1,0
"50mM","Rm1021",21.3,2,0,0,0
"50mM","Rm1021",17.1,4,0,0,0
"50mM","Rm1021",8.1,9,0,3,0
"50mM","Rm1021",17.4,6,0,0,0
"50mM","Rm1021",18.3,11,0,1,0
"50mM","Rm1021",17.4,6,0,0,0
"50mM","Rm1021",17.1,4,0,0,4
"50mM","Mock",16.2,1,0,0,0
"50mM","Mock",19.6,3,1,6,0
"50mM","Mock",18.1,9,0,0,0
"50mM","Mock",14.6,2,0,0,0
"50mM","Mock",16.7,2,0,2,0
"50mM","Mock",17.1,13,0,0,0
"50mM","Mock",20.9,0,0,0,0
"50mM","Mock",13.8,16,0,0,0
"50mM","Mock",20.4,4,0,0,0
"50mM","Mock",14.2,6,0,0,0
"50mM","Mock",14.2,11,0,3,0
"50mM","Mock",17.5,6,0,3,0
"50mM","Mock",22.5,2,0,2,0
"50mM","Mock",18.3,11,0,0,0
"50mM","Mock",18.1,9,0,6,0
"50mM","Mock",17.3,6,0,0,0
"50mM","Mock",18.9,3,0,0,0
"50mM","Mock",21.5,8,0,0,0
"50mM","Mock",15.8,10,0,0,0
"50mM","Mock",17.9,7,0,5,0
"50mM","Mock",21.3,13,0,0,0
"50mM","Mock",15.1,4,0,0,0
"50mM","Mock",2.6,4,0,3,0
"50mM","Mock",19.5,0,0,0,0
"50mM","Mock",18.2,6,0,2,0
"50mM","Mock",18.3,7,0,5,0
"50mM","Mock",20,4,1,2,0
"100mM","Rm1021",16.4,6,0,5,0
"100mM","Rm1021",19.1,10,0,0,0
"100mM","Rm1021",18.3,0,0,0,0
"100mM","Rm1021",17,4,0,0,0
"100mM","Rm1021",20.1,5,1,0,0
"100mM","Rm1021",18.6,5,0,0,0
"100mM","Rm1021",18.6,0,0,0,0
"100mM","Rm1021",11.3,6,0,0,0
"100mM","Rm1021",20.1,5,0,3,0
"100mM","Rm1021",13.8,3,0,2,0
"100mM","Rm1021",15.8,6,0,0,0
"100mM","Rm1021",17.9,4,0,0,0
"100mM","Rm1021",17,4,2,1,0
"100mM","Rm1021",20.1,12,0,0,0
"100mM","Rm1021",20.3,1,0,0,0
"100mM","Rm1021",19.4,2,0,0,0
"100mM","Rm1021",19.9,14,0,0,0
"100mM","Rm1021",14.9,0,0,0,0
"100mM","Mock",16.4,7,0,0,0
"100mM","Mock",6.6,0,2,0,0
"100mM","Mock",12.9,4,0,0,0
"100mM","Mock",20.4,11,0,0,0
"100mM","Mock",15.9,3,0,0,0
"100mM","Mock",9.3,2,1,0,0
"100mM","Mock",20,0,0,0,0
"100mM","Mock",16.7,10,0,0,0
"100mM","Mock",21.2,4,0,1,0
"100mM","Mock",19.1,9,0,0,0
"100mM","Mock",18.1,6,2,0,0
"100mM","Mock",15.8,8,0,0,0
"100mM","Mock",19.7,3,0,2,0
"100mM","Mock",5.3,7,0,0,0
"100mM","Mock",19,2,0,0,0
"100mM","Mock",19.3,10,2,0,0
"100mM","Mock",21.3,7,0,0,0
"100mM","Mock",17.4,4,0,0,0
"100mM","Mock",13.6,0,0,4,0
"100mM","Mock",18.5,6,0,0,0
"100mM","Mock",16.5,0,0,0,0
"100mM","Mock",19.3,9,3,0,0
