# Simulated Nodulation Data File 4
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"Control","Rm1021",22.5,7,1,1,0
"Control","Rm1021",18.1,2,1,0,0
"Control","Rm1021",19,6,0,0,0
"Control","Rm1021",16.4,0,0,2,0
"Control","Rm1021",16.5,0,0,1,0
"Control","Rm1021",18.5,6,0,0,0
"Control","Rm1021",7.2,0,0,0,0
"Control","Rm1021",19.5,9,0,0,0
"Control","Rm1021",16.3,4,0,2,0
"Control","Rm1021",10,3,0,3,0
"Control","Rm1021",19.7,2,0,0,0
"Control","Rm1021",19.8,16,0,0,0
"Control","Rm1021",14.2,4,0,4,0
"Control","Rm1021",12.7,7,0,0,0
"Control","Rm1021",6.6,9,0,0,0
"Control","Rm1021",16.4,9,0,1,0
"Control","Rm1021",19.3,1,0,3,0
"Control","Rm1021",15.6,10,0,6,0
"Control","Rm1021",18.6,1,0,0,0
"Control","Rm1021",8.1,4,0,0,0
"Control","Rm1021",18.6,4,0,0,0
"Control","Mock",14.2,6,0,0,0
"Control","Mock",14.2,11,0,0,0
"Control","Mock",20.4,11,0,0,0
"Control","Mock",21.3,0,0,0,0
"Control","Mock",14.9,3,0,0,0
"Control","Mock",5.3,9,0,0,0
"Control","Mock",18.5,6,1,0,0
"Control","Mock",17,2,0,0,0
"Control","Mock",15.8,8,0,0,0
"Control","Mock",17.4,2,0,0,0
"Control","Mock",13.6,15,2,2,0
"Control","Mock",11.7,3,0,0,0
"Control","Mock",13.8,10,0,0,0
"Control","Mock",13.8,8,0,0,0
"Control","Mock",18.4,8,0,0,0
"Control","Mock",14.7,4,0,2,0
"Control","Mock",19.1,9,0,1,0
"Control","Mock",17.3,15,0,1,0
"Control","Mock",15.3,6,0,1,0
"Control","Mock",17.9,4,0,0,0
"Control","Mock",17.2,10,0,0,0
"50mM","Rm1021",20.1,1,0,3,0
"50mM","Rm1021",12.6,11,0,1,0
"50mM","Rm1021",13.6,10,0,0,0
"50mM","Rm1021",16.7,3,0,0,0
"50mM","Rm1021",20,1,0,0,0
"50mM","Rm1021",16.4,4,0,0,0
"50mM","Rm1021",18.6,4,0,0,0
"50mM","Rm1021",19.3,0,0,1,0
"50mM","Rm1021",14.2,12,6,0,0
"50mM","Rm1021",17.9,11,0,0,0
"50mM","Rm1021",18.2,9,0,0,0
"50mM","Rm1021",19.6,3,0,0,0
"50mM","Rm1021",16.2,0,0,2,0
"50mM","Rm1021",15.9,5,0,0,0
"50mM","Rm1021",20.9,12,0,0,0
"50mM","Rm1021",15.1,2,0,0,0
"50mM","Rm1021",18.2,6,0,0,0
"50mM","Rm1021",19.7,7,0,0,0
"50mM","Rm1021",3,7,0,1,0
"50mM","Rm1021",2.4,6,0,3,0
"50mM","Rm1021",17.3,0,0,0,0
"50mM","Rm1021",18.3,9,0,1,0
"50mM","Rm1021",14.9,5,0,0,0
"50mM","Rm1021",16.8,2,0,2,0
"50mM","Mock",6.9,9,0,1,0
"50mM","Mock",13.8,4,0,0,0
"50mM","Mock",14.6,8,0,5,0
"50mM","Mock",21.3,11,0,3,0
"50mM","Mock",20.5,13,0,0,0
"50mM","Mock",18.6,4,0,0,0
"50mM","Mock",9.1,10,0,5,0
"50mM","Mock",23,6,2,0,0
"50mM","Mock",21.5,1,0,1,0
"50mM","Mock",11.3,14,1,0,0
"50mM","Mock",18.9,7,1,0,0
"50mM","Mock",18.1,8,3,0,0
"50mM","Mock",19.9,4,0,0,0
"50mM","Mock",8.3,3,0,0,0
"50mM","Mock",18.1,6,0,0,0
"50mM","Mock",15.8,3,1,0,4
"50mM","Mock",17.7,1,0,0,0
"50mM","Mock",20.3,5,0,1,0
"50mM","Mock",17,0,1,0,0
"50mM","Mock",16.2,7,0,0,0
"50mM","Mock",14.2,8,2,0,0
"50mM","Mock",18.3,5,0,0,0
"50mM","Mock",20.7,5,0,4,0
"50mM","Mock",17.1,6,0,0,0
"50mM","Mock",16.4,11,0,0,0
"50mM","Mock",17.9,6,0,5,0
"50mM","Mock",17.2,2,0,1,0
"100mM","Rm1021",12.9,13,0,0,0
"100mM","Rm1021",17.1,14,0,0,1
"100mM","Rm1021",20.3,7,0,0,0
"100mM","Rm1021",14.4,0,0,0,0
"100mM","Rm1021",5.6,3,0,2,0
"100mM","Rm1021",11.3,0,0,3,0
"100mM","Rm1021",17.4,3,0,0,0
"100mM","Rm1021",2.6,5,0,0,0
"100mM","Rm1021",19.4,6,0,0,0
"100mM","Rm1021",15.1,4,2,0,0
"100mM","Rm1021",18.2,0,0,0,0
"100mM","Rm1021",20.1,2,1,0,0
"100mM","Rm1021",21.3,2,0,0,0
"100mM","Rm1021",17.3,1,1,0,0
"100mM","Rm1021",16.9,1,0,4,0
"100mM","Rm1021",21.2,2,0,0,0
"100mM","Rm1021",9.3,4,4,0,0
"100mM","Rm1021",17.5,4,0,0,0
"100mM","Mock",20,0,0,0,0
"100mM","Mock",16.3,0,0,5,0
"100mM","Mock",19.1,6,0,0,0
"100mM","Mock",20.4,7,0,0,0
"100mM","Mock",18.6,12,0,3,0
"100mM","Mock",17.4,4,0,0,0
"100mM","Mock",18.3,1,0,0,0
"100mM","Mock",17.5,5,0,0,0
"100mM","Mock",18.7,8,0,6,0
"100mM","Mock",16.5,10,0,0,0
"100mM","Mock",19.1,6,0,0,0
"100mM","Mock",15.8,6,0,0,0
"100mM","Mock",15.8,6,0,2,0
"100mM","Mock",21.4,6,0,0,0
"100mM","Mock",19.9,13,0,0,0
"100mM","Mock",17.1,10,0,0,0
"100mM","Mock",17.1,5,0,2,0
"100mM","Mock",17.5,3,1,0,0
"100mM","Mock",20.1,7,0,0,0
"100mM","Mock",20,2,0,1,0
"100mM","Mock",16.7,3,0,0,0
"100mM","Mock",18.3,4,1,4,0
