# Simulated Nodulation Data File 3
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"Control","Rm1021",15.8,13,0,0,0
"Control","Rm1021",20,5,0,0,0
"Control","Rm1021",16.7,3,0,0,0
"Control","Rm1021",19.8,1,0,0,0
"Control","Rm1021",18.6,1,0,0,0
"Control","Rm1021",20.1,4,0,0,0
"Control","Rm1021",21.3,7,0,0,0
"Control","Rm1021",17.9,2,1,0,0
"Control","Rm1021",9.3,13,0,2,0
"Control","Rm1021",18.2,12,0,0,0
"Control","Rm1021",13.6,2,0,0,0
"Control","Rm1021",19.7,11,0,0,0
"Control","Rm1021",17.2,7,4,0,0
"Control","Rm1021",9.1,6,0,0,0
"Control","Rm1021",20.4,1,2,0,0
"Control","Rm1021",12.6,4,0,5,0
"Control","Rm1021",16.7,4,1,0,0
"Control","Rm1021",17.9,6,0,0,0
"Control","Rm1021",19.5,4,0,0,0
"Control","Rm1021",19.3,10,0,0,0
"Control","Rm1021",20.1,3,0,2,0
"Control","Mock",17,10,1,0,0
"Control","Mock",20.7,15,0,1,0
"Control","Mock",14.9,16,1,1,0
"Control","Mock",13.8,4,0,0,0
"Control","Mock",17,9,0,0,0
"Control","Mock",19.9,2,0,0,0
"Control","Mock",14.2,4,0,0,0
"Control","Mock",14.9,2,0,0,0
"Control","Mock",15.8,8,0,3,0
"Control","Mock",3,3,0,3,0
"Control","Mock",14.2,0,1,0,0
"Control","Mock",16.4,7,0,0,0
"Control","Mock",6.6,5,0,1,0
"Control","Mock",19.7,1,0,5,0
"Control","Mock",20.1,2,0,0,0
"Control","Mock",20.9,6,0,0,0
"Control","Mock",19.4,0,0,0,0
"Control","Mock",20.4,10,0,4,4
"Control","Mock",16.8,11,6,0,0
"Control","Mock",18.2,3,0,0,0
"Control","Mock",15.9,3,0,1,0
"50mM","Rm1021",17.7,11,0,0,0
"50mM","Rm1021",17.1,2,0,1,0
"50mM","Rm1021",18.3,7,0,0,0
"50mM","Rm1021",18.7,3,0,0,0
"50mM","Rm1021",16.4,7,0,6,0
"50mM","Rm1021",18.5,6,0,0,0
"50mM","Rm1021",20.5,4,1,0,0
"50mM","Rm1021",15.8,9,1,0,0
"50mM","Rm1021",18.3,8,0,0,0
"50mM","Rm1021",19,0,0,0,0
"50mM","Rm1021",18.2,4,2,1,0
"50mM","Rm1021",16.5,7,0,0,0
"50mM","Rm1021",17.1,10,0,1,0
"50mM","Rm1021",2.4,10,0,5,0
"50mM","Rm1021",2.6,10,0,0,0
"50mM","Rm1021",16.9,3,0,0,0
"50mM","Rm1021",10,4,0,4,0
"50mM","Rm1021",18.3,5,0,3,0
"50mM","Rm1021",16.3,4,0,4,0
"50mM","Rm1021",19.6,4,0,0,0
"50mM","Rm1021",18.1,0,1,2,0
"50mM","Rm1021",18.6,2,0,0,0
"50mM","Rm1021",23,9,0,0,0
"50mM","Rm1021",17.4,4,0,0,0
"50mM","Mock",5.6,12,0,6,0
"50mM","Mock",19.1,8,0,0,0
"50mM","Mock",14.2,9,0,0,0
"50mM","Mock",14.2,1,0,0,0
"50mM","Mock",8.1,1,3,0,0
"50mM","Mock",17.3,6,0,0,0
"50mM","Mock",18.6,0,0,0,0
"50mM","Mock",14.6,1,0,0,0
