# Simulated Nodulation Data File 1
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"Control","Rm1021",19.7,2,0,2,0
"Control","Rm1021",19.9,6,0,0,0
"Control","Rm1021",19.6,2,0,0,0
"Control","Rm1021",18.3,5,0,0,4
"Control","Rm1021",14.9,6,2,0,0
"Control","Rm1021",18.5,3,0,4,0
"Control","Rm1021",16.4,7,0,0,0
"Control","Rm1021",15.6,6,0,1,0
"Control","Rm1021",16.7,8,1,0,0
"Control","Rm1021",17.2,6,0,0,0
"Control","Rm1021",5.3,7,0,0,0
"Control","Rm1021",6.9,3,0,2,0
"Control","Rm1021",19.1,9,0,1,0
"Control","Rm1021",17.2,0,2,0,0
"Control","Rm1021",14.2,0,0,0,0
"Control","Rm1021",17,6,0,0,0
"Control","Rm1021",19.3,7,0,0,0
"Control","Rm1021",14.9,13,0,0,0
"Control","Rm1021",18.6,7,0,0,0
"Control","Rm1021",19.9,4,1,0,0
"Control","Rm1021",2.4,5,0,0,0
"Control","Mock",20.9,3,1,6,0
"Control","Mock",20,9,0,1,0
"Control","Mock",18.1,12,0,0,0
"Control","Mock",16.9,2,0,3,0
"Control","Mock",8.1,0,0,0,0
"Control","Mock",13.8,10,0,0,0
"Control","Mock",20.1,2,0,0,0
"Control","Mock",19.1,5,0,5,0
"Control","Mock",5.6,4,0,0,0
"Control","Mock",6.6,3,0,0,0
"Control","Mock",18.2,0,0,0,0
"Control","Mock",17.4,15,0,0,0
"Control","Mock",13.6,1,0,0,0
"Control","Mock",17.1,7,0,0,0
"Control","Mock",17.7,11,0,0,0
"Control","Mock",17.3,1,0,0,0
"Control","Mock",21.3,4,0,1,0
"Control","Mock",17.1,4,0,2,0
"Control","Mock",21.2,6,0,5,0
"Control","Mock",21.4,5,0,1,0
"Control","Mock",21.3,5,0,0,0
"50mM","Rm1021",7.2,7,0,5,0
"50mM","Rm1021",2.6,4,0,0,0
"50mM","Rm1021",22.5,8,0,0,0
"50mM","Rm1021",18.6,13,0,0,0
"50mM","Rm1021",18.6,4,2,1,0
"50mM","Rm1021",19.5,2,0,3,0
"50mM","Rm1021",17,4,0,0,0
"50mM","Rm1021",17.9,9,0,6,0
"50mM","Rm1021",20,4,1,1,0
"50mM","Rm1021",15.8,15,0,0,0
"50mM","Rm1021",17.3,5,0,1,0
"50mM","Rm1021",9.1,14,0,0,0
"50mM","Rm1021",17.5,6,0,2,0
"50mM","Rm1021",23,6,1,2,0
"50mM","Rm1021",11.3,4,0,1,0
"50mM","Rm1021",18.6,3,1,0,0
"50mM","Rm1021",16.4,2,0,1,0
"50mM","Rm1021",17.1,6,0,4,0
"50mM","Rm1021",15.8,8,2,0,0
"50mM","Rm1021",11.7,3,0,0,0
"50mM","Rm1021",20,0,0,0,0
"50mM","Rm1021",18.5,8,0,1,0
"50mM","Rm1021",15.1,4,0,0,0
"50mM","Rm1021",15.8,14,0,2,0
"50mM","Mock",14.2,10,0,0,0
"50mM","Mock",16.8,12,0,0,1
"50mM","Mock",14.2,7,0,2,0
"50mM","Mock",17.3,7,0,0,0
"50mM","Mock",14.4,6,0,0,0
"50mM","Mock",8.3,2,0,0,0
"50mM","Mock",21.5,6,0,0,0
"50mM","Mock",18.2,1,0,0,0
"50mM","Mock",20.3,2,0,0,0
"50mM","Mock",17.4,4,0,0,0
"50mM","Mock",18.3,10,0,0,0
"50mM","Mock",15.9,6,4,0,0
"50mM","Mock",14.2,1,0,0,0
"50mM","Mock",17.9,3,0,0,0
"50mM","Mock",20.4,8,0,1,0
"50mM","Mock",18.9,0,0,3,0
"50mM","Mock",12.6,4,0,0,0
"50mM","Mock",13.6,9,0,0,0
"50mM","Mock",17.5,9,3,0,0
"50mM","Mock",16.7,9,0,0,0
"50mM","Mock",19.3,6,0,0,0
"50mM","Mock",17.4,11,0,2,0
"50mM","Mock",16.3,1,0,0,0
"50mM","Mock",18.1,2,0,0,0
"50mM","Mock",16.2,6,0,1,0
"50mM","Mock",15.8,0,0,0,0
"50mM","Mock",19,1,6,0,0
"100mM","Rm1021",20.1,6,0,0,0
"100mM","Rm1021",15.3,6,0,0,0
"100mM","Rm1021",14.7,8,0,0,0
"100mM","Rm1021",16.5,11,0,3,0
"100mM","Rm1021",17.9,0,1,0,0
"100mM","Rm1021",14.2,3,1,0,0
"100mM","Rm1021",18.2,7,0,0,0
"100mM","Rm1021",13.8,11,0,0,0
"100mM","Rm1021",16.4,10,0,0,0
"100mM","Rm1021",19.1,1,0,5,0
