# Simulated Nodulation Data File 5
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"Control","Rm1021",21.4,6,4,0,0
"Control","Rm1021",17.4,8,0,0,0
"Control","Rm1021",15.8,11,1,0,0
"Control","Rm1021",18.6,0,0,0,0
"Control","Rm1021",18.6,7,0,0,0
"Control","Rm1021",19.1,7,3,0,0
"Control","Rm1021",14.9,9,0,0,0
"Control","Rm1021",20.4,3,0,0,0
"Control","Rm1021",17.2,0,0,0,0
"Control","Rm1021",20.1,6,0,1,0
"Control","Rm1021",20.4,2,0,0,0
"Control","Rm1021",17.7,6,6,5,0
"Control","Rm1021",19.5,2,0,0,0
"Control","Rm1021",14.2,0,0,4,0
"Control","Rm1021",20,4,0,0,0
"Control","Rm1021",16.5,4,0,0,0
"Control","Rm1021",16.7,5,0,0,0
"Control","Rm1021",5.3,2,0,0,0
"Control","Rm1021",14.2,6,0,0,0
"Control","Rm1021",21.2,7,2,2,0
"Control","Rm1021",16.4,11,0,2,0
"Control","Mock",19.1,1,0,1,0
"Control","Mock",19.7,10,0,0,0
"Control","Mock",6.9,7,0,0,0
"Control","Mock",20.1,6,0,0,0
"Control","Mock",12.9,4,0,1,0
"Control","Mock",18.7,10,0,6,0
"Control","Mock",17.1,4,0,0,0
"Control","Mock",18.6,8,0,4,0
"Control","Mock",15.3,1,0,0,0
"Control","Mock",8.3,3,0,0,0
"Control","Mock",17.9,0,0,0,0
"Control","Mock",14.2,15,0,0,0
"Control","Mock",17.2,1,2,0,0
"Control","Mock",12.6,1,0,0,0
"Control","Mock",18.5,13,0,4,0
"Control","Mock",17.5,8,0,3,0
"Control","Mock",15.8,9,0,3,0
"Control","Mock",14.6,14,2,5,0
"Control","Mock",19,11,0,0,0
"Control","Mock",16.4,3,0,0,0
"Control","Mock",15.6,9,1,0,0
"50mM","Rm1021",6.6,2,0,0,0
"50mM","Rm1021",20,9,0,2,0
"50mM","Rm1021",17.1,3,0,0,0
"50mM","Rm1021",12.7,0,0,0,0
"50mM","Rm1021",21.3,5,0,2,0
"50mM","Rm1021",17.5,3,0,0,0
"50mM","Rm1021",23,11,0,0,0
"50mM","Rm1021",18.1,8,0,2,0
"50mM","Rm1021",20.9,10,0,0,0
"50mM","Rm1021",17,5,1,0,0
"50mM","Rm1021",8.1,4,0,2,0
"50mM","Rm1021",18.2,4,0,0,0
"50mM","Rm1021",18.3,5,0,0,0
"50mM","Rm1021",16.5,2,0,3,0
"50mM","Rm1021",18.6,0,0,1,0
"50mM","Rm1021",18.3,3,1,1,0
"50mM","Rm1021",18.3,3,0,0,0
"50mM","Rm1021",20.5,6,0,0,0
"50mM","Rm1021",17.3,5,0,0,0
"50mM","Rm1021",19.7,2,0,0,0
"50mM","Rm1021",15.9,11,0,0,0
"50mM","Rm1021",9.3,10,0,0,0
