# Simulated Nodulation Data File 9
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"Control","Rm1021",14.2,3,0,1,0
"Control","Rm1021",17.4,6,0,0,0
"Control","Rm1021",19.9,8,0,1,0
"Control","Rm1021",11.3,13,1,0,0
"Control","Rm1021",18.6,6,0,0,0
"Control","Rm1021",17.4,0,0,5,0
"Control","Rm1021",13.8,13,1,1,0
"Control","Rm1021",18.3,7,1,1,0
"Control","Rm1021",17.3,0,1,0,0
"Control","Rm1021",21.5,10,2,0,0
"Control","Rm1021",17.3,2,0,0,0
"Control","Rm1021",19.8,9,0,0,1
"Control","Rm1021",16.2,0,0,0,0
"Control","Rm1021",18.9,11,0,0,0
"Control","Rm1021",17.9,6,0,0,0
"Control","Rm1021",14.6,14,0,3,0
"Control","Rm1021",19,4,0,0,0
"Control","Rm1021",17.7,0,0,0,0
"Control","Rm1021",9.3,10,0,3,0
"Control","Rm1021",14.4,4,0,0,0
"Control","Rm1021",16.5,3,0,2,0
"Control","Mock",21.3,0,0,2,0
"Control","Mock",17.9,6,0,1,0
"Control","Mock",5.6,2,0,5,0
"Control","Mock",23,10,0,0,0
"Control","Mock",13.6,9,0,0,4
"Control","Mock",20,6,0,0,0
"Control","Mock",19.9,4,1,0,0
"Control","Mock",19.3,6,6,3,0
"Control","Mock",16.7,7,0,0,0
"Control","Mock",18.2,3,0,4,0
"Control","Mock",15.8,10,2,0,0
"Control","Mock",19.7,7,0,1,0
"Control","Mock",14.7,9,0,0,0
"Control","Mock",19.4,5,0,0,0
"Control","Mock",12.6,1,0,0,0
"Control","Mock",16.4,4,0,0,0
"Control","Mock",7.2,15,1,0,0
"Control","Mock",15.6,4,0,0,0
"Control","Mock",8.3,11,0,0,0
"Control","Mock",12.9,3,0,2,0
"Control","Mock",14.2,8,0,0,0
"50mM","Rm1021",15.1,10,0,0,0
"50mM","Rm1021",20.5,1,0,0,0
"50mM","Rm1021",14.9,12,0,1,0
"50mM","Rm1021",18.2,10,0,0,0
"50mM","Rm1021",16.2,3,0,0,0
"50mM","Rm1021",17.5,0,0,0,0
"50mM","Rm1021",6.6,5,0,1,0
"50mM","Rm1021",17.4,7,0,5,0
"50mM","Rm1021",16.4,2,0,0,0
"50mM","Rm1021",15.8,4,0,1,0
"50mM","Rm1021",14.9,4,0,0,0
"50mM","Rm1021",18.6,0,0,2,0
"50mM","Rm1021",17,6,0,0,0
"50mM","Rm1021",13.8,4,0,0,0
"50mM","Rm1021",16.9,7,0,0,0
"50mM","Rm1021",19.7,1,0,5,0
"50mM","Rm1021",16.8,4,0,0,0
"50mM","Rm1021",9.1,2,0,0,0
"50mM","Rm1021",18.1,6,0,0,0
"50mM","Rm1021",16.7,8,0,0,0
"50mM","Rm1021",20,6,0,2,0
"50mM","Rm1021",16.3,15,0,0,0
"50mM","Rm1021",15.1,4,0,0,0
"50mM","Rm1021",5.3,9,0,0,0
"50mM","Mock",20.1,2,0,1,0
"50mM","Mock",15.9,11,0,0,0
"50mM","Mock",11.7,6,0,0,0
"50mM","Mock",14.2,7,1,0,0
"50mM","Mock",18.7,6,0,1,0
"50mM","Mock",3,0,0,0,0
"50mM","Mock",18.1,2,0,0,0
"50mM","Mock",18.6,7,0,3,0
"50mM","Mock",21.3,2,0,0,0
"50mM","Mock",18.1,13,0,0,0
"50mM","Mock",17.1,3,0,0,0
"50mM","Mock",19.5,0,0,0,0
"50mM","Mock",17.2,9,0,0,0
"50mM","Mock",6.9,5,1,0,0
"50mM","Mock",2.4,2,0,0,0
"50mM","Mock",20.3,6,0,0,0
"50mM","Mock",19.6,5,0,2,0
"50mM","Mock",21.4,2,4,0,0
"50mM","Mock",22.5,11,0,1,0
"50mM","Mock",14.2,1,2,0,0
"50mM","Mock",19.3,0,0,0,0
"50mM","Mock",18.5,7,0,0,0
"50mM","Mock",17.1,8,0,0,0
"50mM","Mock",17.3,5,0,0,0
"50mM","Mock",17.1,6,0,0,0
"50mM","Mock",18.2,4,0,0,0
"50mM","Mock",20.1,9,1,0,0
"100mM","Rm1021",17,6,0,4,0
"100mM","Rm1021",2.6,1,0,0,0
"100mM","Rm1021",18.4,2,0,0,0
"100mM","Rm1021",20.9,1,1,0,0
"100mM","Rm1021",16.4,3,0,0,0
"100mM","Rm1021",20.4,4,0,0,0
"100mM","Rm1021",16.3,12,0,0,0
"100mM","Rm1021",11.3,11,0,0,0
"100mM","Rm1021",19.1,3,0,2,0
"100mM","Rm1021",18.3,1,1,0,0
"100mM","Rm1021",15.3,5,0,0,0
"100mM","Rm1021",8.1,0,0,0,0
"100mM","Rm1021",13.8,8,0,0,0
"100mM","Rm1021",18.6,0,0,1,0
"100mM","Rm1021",12.7,12,0,2,0
"100mM","Rm1021",19.1,8,0,1,0
"100mM","Rm1021",16.5,4,0,1,0
"100mM","Rm1021",20,16,0,0,0
"100mM","Mock",21.3,8,0,2,0
"100mM","Mock",20.4,6,0,6,0
"100mM","Mock",20.3,14,0,3,0
"100mM","Mock",14.2,5,0,4,0
"100mM","Mock",18.6,6,0,0,0
"100mM","Mock",20.7,1,0,0,0
