# Simulated Nodulation Data File 7
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"Control","Rm1021",16.7,4,0,1,0
"Control","Rm1021",16.3,13,0,0,0
"Control","Rm1021",20.4,11,2,0,0
"Control","Rm1021",18.5,9,0,3,0
"Control","Rm1021",18.9,9,2,0,0
"Control","Rm1021",18.3,6,0,0,0
"Control","Rm1021",13.8,4,0,0,0
"Control","Rm1021",18.1,0,0,0,0
"Control","Rm1021",16.4,3,1,6,0
"Control","Rm1021",16.4,9,0,0,0
"Control","Rm1021",19.7,1,0,0,0
"Control","Rm1021",15.3,8,1,0,0
"Control","Rm1021",17.1,1,0,0,0
"Control","Rm1021",17.9,5,0,2,0
"Control","Rm1021",14.2,1,0,0,0
"Control","Rm1021",6.6,11,0,0,0
"Control","Rm1021",8.1,2,0,0,0
"Control","Rm1021",20.1,6,0,0,0
"Control","Rm1021",5.6,0,1,0,0
"Control","Rm1021",14.6,14,0,1,0
"Control","Rm1021",14.2,8,0,0,0
"Control","Mock",18.6,3,0,0,0
"Control","Mock",12.9,6,0,1,0
"Control","Mock",16.7,12,3,0,0
"Control","Mock",13.8,0,0,2,0
"Control","Mock",14.2,6,0,0,0
"Control","Mock",17.3,1,0,1,0
"Control","Mock",18.7,5,0,0,0
"Control","Mock",19.7,0,0,0,0
"Control","Mock",17.5,5,0,0,0
"Control","Mock",19.1,7,0,5,0
"Control","Mock",18.2,1,0,1,0
"Control","Mock",2.6,14,0,0,0
"Control","Mock",14.4,9,0,0,0
"Control","Mock",11.7,7,0,4,0
"Control","Mock",20.1,3,6,0,0
"Control","Mock",14.2,13,0,0,0
"Control","Mock",18.1,6,0,1,0
"Control","Mock",8.3,5,0,3,0
"Control","Mock",23,4,0,2,0
"Control","Mock",22.5,10,0,0,0
"Control","Mock",20.9,16,0,6,0
"50mM","Rm1021",12.6,7,0,0,0
"50mM","Rm1021",20.5,0,0,1,0
"50mM","Rm1021",16.5,6,0,0,0
"50mM","Rm1021",21.4,8,0,0,0
"50mM","Rm1021",19.4,11,0,3,0
"50mM","Rm1021",18.6,7,0,0,0
"50mM","Rm1021",16.4,10,1,1,0
"50mM","Rm1021",20,7,0,0,0
"50mM","Rm1021",15.1,3,0,3,0
"50mM","Rm1021",21.2,3,0,4,0
"50mM","Rm1021",18.2,0,1,0,0
"50mM","Rm1021",17.4,12,1,5,0
"50mM","Rm1021",2.4,1,4,0,0
"50mM","Rm1021",17.1,6,0,3,0
"50mM","Rm1021",15.6,4,0,1,0
"50mM","Rm1021",21.3,6,0,0,0
"50mM","Rm1021",17.4,8,0,0,0
"50mM","Rm1021",20,8,0,0,0
"50mM","Rm1021",18.3,15,0,0,0
"50mM","Rm1021",17.3,11,0,0,0
"50mM","Rm1021",19.8,5,0,0,0
"50mM","Rm1021",15.1,3,0,0,0
"50mM","Rm1021",17,9,0,0,0
"50mM","Rm1021",6.9,9,0,5,0
"50mM","Mock",17.7,2,0,1,0
"50mM","Mock",17.2,4,0,0,0
"50mM","Mock",17.3,4,0,0,0
"50mM","Mock",9.1,15,0,1,0
"50mM","Mock",18.3,6,0,2,0
"50mM","Mock",19.3,2,0,0,0
"50mM","Mock",20,2,0,0,0
"50mM","Mock",19.1,4,0,1,0
"50mM","Mock",11.3,3,0,2,0
"50mM","Mock",12.7,4,1,0,0
"50mM","Mock",13.8,0,0,1,0
"50mM","Mock",15.9,6,0,0,0
"50mM","Mock",20.7,3,0,0,0
"50mM","Mock",16.2,8,2,0,1
"50mM","Mock",17.1,3,0,0,0
"50mM","Mock",20.4,2,0,0,0
"50mM","Mock",20.1,10,2,0,0
"50mM","Mock",11.3,4,0,0,0
"50mM","Mock",16.9,3,0,0,0
"50mM","Mock",13.6,9,0,4,0
"50mM","Mock",20.3,5,0,0,0
"50mM","Mock",15.8,2,0,0,0
"50mM","Mock",17.4,10,0,0,0
"50mM","Mock",18.6,0,0,0,0
"50mM","Mock",21.3,6,1,0,0
"50mM","Mock",20.3,3,0,3,0
"50mM","Mock",17.5,11,0,0,0
"100mM","Rm1021",16.8,2,0,0,0
"100mM","Rm1021",14.7,8,0,0,0
"100mM","Rm1021",19.3,1,0,2,0
"100mM","Rm1021",14.2,4,0,0,0
"100mM","Rm1021",19.1,7,0,0,0
"100mM","Rm1021",18.6,7,1,0,0
"100mM","Rm1021",19,4,0,0,0
"100mM","Rm1021",17,11,0,0,0
"100mM","Rm1021",17.9,4,0,1,0
"100mM","Rm1021",18.4,12,0,0,0
"100mM","Rm1021",18.3,6,0,0,0
"100mM","Rm1021",9.3,6,0,0,0
"100mM","Rm1021",15.8,1,0,1,0
"100mM","Rm1021",13.6,6,1,0,0
"100mM","Rm1021",14.9,0,0,0,0
"100mM","Rm1021",18.2,10,0,0,0
"100mM","Rm1021",17.2,0,0,0,4
"100mM","Rm1021",15.8,4,0,2,0
"100mM","Mock",17.9,0,0,0,0
"100mM","Mock",10,6,0,4,0
"100mM","Mock",7.2,4,0,0,0
"100mM","Mock",16.3,1,1,0,0
"100mM","Mock",18.6,5,0,0,0
"100mM","Mock",19.6,2,0,0,0
"100mM","Mock",19.9,4,0,2,0
"100mM","Mock",5.3,9,0,0,0
"100mM","Mock",14.9,13,0,2,0
"100mM","Mock",16.4,4,0,5,0
"100mM","Mock",16.2,2,0,0,0
"100mM","Mock",21.3,5,0,0,0
"100mM","Mock",18.5,6,0,0,0
"100mM","Mock",16.5,2,0,0,0
"100mM","Mock",17.1,0,0,0,0
"100mM","Mock",21.5,6,0,0,0
"100mM","Mock",19.5,0,0,0,0
"100mM","Mock",15.8,2,0,3,0
"100mM","Mock",18.1,10,0,0,0
"100mM","Mock",19.9,10,0,0,0
"100mM","Mock",3,7,0,0,0
"100mM","Mock",17.5,7,0,0,0
